timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-26 03:34:59,"$68,000.39",$1.35T,$55.08B,19.99M BTC,4.19% (24h),,
2026-02-26 04:09:58,"$68,097.50",$1.36T,$55.34B,19.99M BTC,3.95% (24h),,
2026-02-26 05:06:13,"$68,579.76",$1.37T,$55.75B,19.99M BTC,4.64% (24h),,
2026-02-26 06:03:04,"$68,332.13",$1.36T,$56.11B,19.99M BTC,4.55% (24h),,
2026-02-26 06:52:15,"$67,999.23",$1.35T,$56.19B,19.99M BTC,3.98% (24h),,
2026-02-26 07:53:22,"$68,166.05",$1.36T,$55.95B,19.99M BTC,2.97% (24h),,
2026-02-26 09:08:12,"$67,708.19",$1.35T,$53.33B,19.99M BTC,1.99% (24h),,
2026-02-26 10:04:03,"$67,581.10",$1.35T,$53.02B,19.99M BTC,0.54% (24h),,
2026-02-26 11:04:38,"$67,364.62",$1.34T,$53.56B,19.99M BTC,0.15% (24h),,
2026-02-26 12:15:15,"$66,894.98",$1.33T,$52.42B,19.99M BTC,2.38% (24h),,
2026-02-26 13:08:02,"$66,674.55",$1.33T,$50.58B,19.99M BTC,2.89% (24h),,
2026-02-26 14:08:21,"$67,562.33",$1.35T,$49.13B,19.99M BTC,2.23% (24h),,
2026-02-26 14:53:06,"$67,527.76",$1.35T,$48.79B,19.99M BTC,2.17% (24h),,
2026-02-26 15:31:28,"$67,499.83",$1.34T,$48.73B,19.99M BTC,2.02% (24h),,
2026-02-26 16:06:03,"$67,439.07",$1.34T,$48.24B,19.99M BTC,2.5% (24h),,
2026-02-26 16:45:09,"$67,441.08",$1.34T,$46.7B,19.99M BTC,2.62% (24h),,
2026-02-26 17:04:43,"$67,460.25",$1.34T,$45.68B,19.99M BTC,2.29% (24h),,
2026-02-26 17:50:45,"$67,621.70",$1.35T,$44.85B,19.99M BTC,1.24% (24h),,
2026-02-26 18:18:54,"$67,469.82",$1.34T,$44.09B,19.99M BTC,1.48% (24h),,
2026-02-26 18:49:31,"$67,517.32",$1.35T,$43.59B,19.99M BTC,0.35% (24h),,
2026-02-26 19:05:11,"$67,406.65",$1.34T,$42.79B,19.99M BTC,0.61% (24h),,
2026-02-26 21:51:05,"$67,440.58",$1.34T,$41.29B,19.99M BTC,1.08% (24h),,
2026-02-26 23:29:31,"$67,951.44",$1.35T,$41.51B,19.99M BTC,0.95% (24h),,
2026-02-27 00:37:21,"$67,807.71",$1.35T,$41.86B,19.99M BTC,0.82% (24h),,
2026-02-27 01:31:30,"$67,684.45",$1.35T,$40.77B,19.99M BTC,0.83% (24h),,
2026-02-27 02:31:03,"$67,544.66",$1.35T,$41.03B,19.99M BTC,0.94% (24h),,
2026-02-27 03:05:57,"$67,750.61",$1.35T,$41.27B,19.99M BTC,0.2% (24h),,
2026-02-27 03:58:11,"$67,978.54",$1.35T,$41.01B,19.99M BTC,0.01% (24h),,
2026-02-27 04:39:36,"$67,817.80",$1.35T,$41.28B,19.99M BTC,0.9% (24h),,
2026-02-27 05:22:25,"$66,852.80",$1.33T,$41.61B,19.99M BTC,2.36% (24h),,
2026-02-27 06:06:05,"$66,743.77",$1.33T,$42.05B,19.99M BTC,2.36% (24h),,
2026-02-27 06:44:04,"$66,043.28",$1.32T,$42.66B,19.99M BTC,2.98% (24h),,
2026-02-27 07:03:59,"$66,067.68",$1.32T,$43.34B,19.99M BTC,2.9% (24h),,
2026-02-27 08:22:16,"$66,107.86",$1.32T,$44.66B,19.99M BTC,2.8% (24h),,
2026-02-27 09:10:18,"$66,184.83",$1.32T,$45.28B,19.99M BTC,2.31% (24h),,
2026-02-27 09:58:26,"$65,870.89",$1.31T,$44.67B,19.99M BTC,2.66% (24h),,
2026-02-27 10:37:45,"$65,931.49",$1.31T,$43.89B,19.99M BTC,1.71% (24h),,
2026-02-27 11:05:45,"$65,916.86",$1.31T,$43.04B,19.99M BTC,2.12% (24h),,
2026-02-27 11:55:54,"$65,579.85",$1.31T,$41.95B,19.99M BTC,1.57% (24h),,
2026-02-27 12:31:24,"$65,195.12",$1.3T,$41.18B,19.99M BTC,2.62% (24h),N/A,N/A
